sentence,tokens,max_depth,clauses,pos_distribution,german_features
Söllenböhmer selbst sind sehr kompetent und nett.,8,3,1,"{'NOUN': 1, 'ADV': 4, 'AUX': 1, 'CCONJ': 1, 'PUNCT': 1}","{'modal_particles': [], 'compounds': ['Söllenböhmer']}"
Schon die Aufnahme wurde sehr freundlich und zuvorkommend erledigt.,10,4,1,"{'ADV': 4, 'DET': 1, 'NOUN': 1, 'AUX': 1, 'CCONJ': 1, 'VERB': 1, 'PUNCT': 1}","{'modal_particles': [], 'compounds': []}"
"Ursachenanalyse war oberflächlich, statt dessen Kortisonbehandlung.",8,4,1,"{'NOUN': 2, 'AUX': 1, 'ADV': 1, 'PUNCT': 2, 'ADP': 1, 'PRON': 1}","{'modal_particles': [], 'compounds': ['Ursachenanalyse', 'Kortisonbehandlung']}"
"Das finde ich enorm bedauerlich, da der MRT-Befund ganz klar eine andere Diagnose zeigte (war auch auf den MRT-Bildern zu sehen).",25,5,1,"{'PRON': 2, 'VERB': 3, 'ADV': 5, 'PUNCT': 4, 'SCONJ': 1, 'DET': 3, 'NOUN': 3, 'ADJ': 1, 'AUX': 1, 'ADP': 1, 'PART': 1}","{'modal_particles': [], 'compounds': ['MRT-Bildern']}"
"Termin vorgespieltes Interesse b) voreilige Diagnosen nach Minimaltests mit Ergebis ""Sie haben nichts"" c) Besserwisserei gegen vermutete Diagnosen v.",23,3,3,"{'NOUN': 6, 'ADJ': 3, 'X': 2, 'PUNCT': 4, 'ADP': 4, 'PROPN': 1, 'PRON': 2, 'VERB': 1}","{'modal_particles': [], 'compounds': ['vorgespieltes', 'Minimaltests', 'Besserwisserei']}"
Ich fühlte mich bei Herr Frank sehr gut aufgehoben.,10,3,1,"{'PRON': 2, 'VERB': 2, 'ADP': 1, 'NOUN': 1, 'PROPN': 1, 'ADV': 2, 'PUNCT': 1}","{'modal_particles': [], 'compounds': []}"
Wir fühlen uns durch ihn sehr gut betreut.,9,3,1,"{'PRON': 3, 'VERB': 2, 'ADP': 1, 'ADV': 2, 'PUNCT': 1}","{'modal_particles': [], 'compounds': []}"
Hier fühle ich mich Super aufgehoben hier bleibe ich.,10,2,1,"{'ADV': 2, 'VERB': 3, 'PRON': 3, 'NOUN': 1, 'PUNCT': 1}","{'modal_particles': [], 'compounds': []}"
Sudhoff als ausgesprochen unfreundlich und ungeduldig.,7,4,1,"{'NOUN': 1, 'ADP': 1, 'ADV': 3, 'CCONJ': 1, 'PUNCT': 1}","{'modal_particles': [], 'compounds': []}"
"Allerdings sind einige der Helferinnen unfreundlich, pampig, patzig und besserwisserisch.",13,4,1,"{'ADV': 5, 'AUX': 1, 'PRON': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 3, 'CCONJ': 1}","{'modal_particles': [], 'compounds': ['Helferinnen']}"
"Er wirkt sehr hochnäsig, unpersönlich und herabschauend.",9,3,1,"{'PRON': 1, 'VERB': 1, 'ADV': 4, 'PUNCT': 2, 'CCONJ': 1}","{'modal_particles': [], 'compounds': []}"
Dieses ganze Gespräch hat nicht mal 3 Minuten gedauert.,10,5,1,"{'DET': 1, 'ADJ': 1, 'NOUN': 2, 'AUX': 1, 'PART': 1, 'ADV': 1, 'NUM': 1, 'VERB': 1, 'PUNCT': 1}","{'modal_particles': ['mal'], 'compounds': []}"
Beim zweiten Mal haben wir 80 Minuten gewartet.,9,4,1,"{'ADP': 1, 'ADJ': 1, 'NOUN': 2, 'AUX': 1, 'PRON': 1, 'NUM': 1, 'VERB': 1, 'PUNCT': 1}","{'modal_particles': ['Mal'], 'compounds': []}"
Wartezeiten von 2 Stunden sind keine Seltenheit!!,9,4,1,"{'NOUN': 3, 'ADP': 1, 'NUM': 1, 'AUX': 1, 'DET': 1, 'PUNCT': 2}","{'modal_particles': [], 'compounds': ['Wartezeiten']}"
Am 01.08.17 wurde mir von Herrn Dr.,7,3,1,"{'ADP': 2, 'PROPN': 1, 'AUX': 1, 'PRON': 1, 'NOUN': 2}","{'modal_particles': [], 'compounds': []}"
Ich habe mir von Dr.,5,2,1,"{'PRON': 2, 'AUX': 1, 'ADP': 1, 'NOUN': 1}","{'modal_particles': [], 'compounds': []}"
Nicht ohne Grund hat Dr.,5,3,1,"{'PART': 1, 'ADP': 1, 'NOUN': 2, 'AUX': 1}","{'modal_particles': [], 'compounds': []}"
Ich kann diese Praxis nur weiterempfehlen.,7,3,1,"{'PRON': 1, 'AUX': 1, 'DET': 1, 'NOUN': 1, 'ADV': 1, 'VERB': 1, 'PUNCT': 1}","{'modal_particles': [], 'compounds': []}"
Ich kann sie wirklich nur weiterempfehlen.,7,2,1,"{'PRON': 2, 'AUX': 1, 'ADV': 2, 'VERB': 1, 'PUNCT': 1}","{'modal_particles': [], 'compounds': []}"
Ich kann Frau Konlechner nur wärmstens weiterempfehlen.,8,3,1,"{'PRON': 1, 'AUX': 1, 'NOUN': 2, 'ADV': 1, 'PROPN': 1, 'VERB': 1, 'PUNCT': 1}","{'modal_particles': [], 'compounds': []}"
