doc_id,sent_id,sentence,token_count,char_count,rating,topic,topic_prob
6822,0,"mal nett und mal unfreundliche ärztin, schnelle abfertigung wegen zuvielen patienten. schöne praxis. mit der mutter kam ich besser klar, jetzt FA wechsel nach Glinde und fühle mich deutlich wohler...",30,199,4.0,0,0.19044233394157964
499,1,"Auch in meiner Schwangerschaft, berät sie mich wunderbar.",8,57,1.0,-1,0.037644082217964434
1314,0,Meine ganze Schwangerschaft habe ich mich durchaus gut betreut gefühlt.,10,71,2.0,5,0.30972266552476196
5447,1,"Jedoch kann man keine ausfühtlichen Aufklärungsgespräche erwarten, man bekommt die Fakten gesagt und den Ablauf erklärt und das wars.",19,133,3.0,-1,0.03057843740661757
5738,5,Warum ich zu der bestimmten Röntgenpraxis gegangen bin die ist auch nicht gut.,13,78,6.0,-1,0.044371944310031435
1043,1,Meine Nase hat mich seit meiner Jugend gestört und zusätzlich bekam ich auch schwer Luft.,15,89,1.0,-1,0.05454735596610275
1321,2,"Letzteres laut meinem Alter nicht wahrscheinlich (da keine Trauma-Verletzung), trotz 5x Training die Woche, Capoeira, Handstände etc. (daher sich dem MRT verweigert, nach dem ich fragte).",26,187,5.0,4,0.4614969118015183
2934,1,"Die Zahnextraktion war durch leichte Komplikationen begleitet, woraufhin ich noch einmal in die Praxis musste.",15,110,6.0,-1,0.045347117872254365
3571,3,"Jedoch bin ich fast vom Sofa gefallen, als ich die Rechnung bekam.",12,66,3.0,-1,0.012965909453995414
5893,1,Man bekommt als Privatpatient schon nach einer Liquidationserinnerung einen Anwalt auf den Leib gehetzt.,14,104,5.0,-1,0.06141291991538866
6257,2,Gegenüber schwer kranken Menschen die eine Odyssee hinter sich haben nicht besonders fair.,13,90,4.0,-1,0.047250169369233604
5515,2,"Selben Tag nachmittags hatte ich schon einen Termin, und obwohl ich mich auf lange Wartezeit einstellen sollte, keine 15 Minuten gewartet.",21,138,5.0,-1,0.023959374468192067
6202,15,"Der Wartebereich der Praxis ist leider nicht komplett diskret, da er direkt an der Anmeldung plaziert ist und daher Teile der Gespräche fremde Ohren erreichen.",25,159,3.0,-1,0.08125628574195021
1465,1,"Dass Herr Hirt keinen Doktortitel hat, ist klar.",8,48,6.0,-1,0.13411721782512878
2747,23,Zu diesem Arzt gehe ich nie wieder!,7,35,6.0,12,0.4010787337858028
5651,2,Entschuldigung dass ich Schmerzen habe.,5,39,6.0,-1,0.017853967247394922
2911,12,"Lampe war angenehm und drehte sich um die Fakten und Beschwerden - ich gehe nicht zum Spezialisten, um dort Smalltalk zu halten, sondern um möglichst effizient behandelt zu werden.",29,180,2.0,-1,0.06213121389369771
4717,1,Rezepte owohl es fü kinder ist bekommt man Privat rezepte die man selber zahlen muss.,15,85,5.0,-1,0.04343943092576388
4975,3,Empfinden der Eltern wurde zum Teil auf eine spöttische Art und Weise reagiert.,13,79,3.0,-1,0.011113404196509403
3084,0,Der Arztbesuch dauerte geschlagene 4-5 Minuten.,6,47,4.0,7,0.345259164450294
6498,0,"Habe akute Hörempfindlichkeiten, freute mich als sich sehr rasch eien termin bekam.",12,83,5.0,-1,0.03544403788539394
6240,5,"Lehmann nicht gut informiert und setzte mir die erste Spirale fehlerhaft ein, sodass ein erneuter Versuch und eine neue Bezahlung meinerseits erfolgen musste.",23,158,2.0,-1,0.037706301696348685
724,6,"Zu keiner Zeit hatte ich das Gefühl überredet oder falsch beraten zu werden oder Gefahr zu laufen, überzogene Erwartungen von dem Ergebnis zu entwickeln.",24,153,1.0,-1,0.047181261001014864
3842,0,Es ist ein netter und Kompetenter Arzt .,8,40,2.0,30,1.0
7822,0,"An der Kompetenz diesen Arztes kann ich nicht zweifeln, jedoch man fragt sich nach welchem Prinzip hier die Termine vergeben werden.",21,132,2.0,-1,0.03590804037864695
916,14,Team chirurgisch und zahnärztlich sehr qualifiziert.,6,52,1.0,3,0.44806417387854225
5697,2,"Vor 3 Jahren das entscheidende Erlebnis: Auf eine auffällige, seit längerem nässende Stelle im Gesicht hingewiesen griff Herr Dr.",19,129,5.0,-1,0.04233515851660203
7913,0,Ich war heute früh das erste Mal in der Praxis.,10,47,4.0,18,0.45106252010525516
6537,5,Ich war fast kompeltt nackt.,5,28,4.0,-1,0.011129815603720228
7231,5,Auch sieht die Praxis kein bisschen nach einer Wohnung aus.,10,59,2.0,20,0.27752656323936803
5168,3,"Beim Ultraschall wird das Bild komplett erläutert, sodass man auch als Laie versteht was man darauf erkennen kann.",18,114,1.0,-1,0.033266573643094086
6964,1,"Schwindelanfällen und bekam nach nicht einmal 20 Sekunden Erklärung meinerseits zu hören, ich hätte einen krummen Rücken, einen Buckel.",19,135,5.0,-1,0.04542748479542187
2497,1,"Als ""akut"" eingestuft,hatte ich Glück,im Wartezimmer Platz nehmen,zu dürfen.",9,76,6.0,-1,0.00875461182848212
2537,2,"Mein Vertrauen war so groß, dass ich tags darauf die Behandlung vornehmen ließ.",13,79,1.0,-1,0.0333817960147177
3624,2,Eingehende Beratung und Information ohne Zeitlimit rund um die Machbarkeit im Rahmen der angedachten Nasenspitzen OP.,16,117,1.0,-1,0.1146694856607002
368,2,Praxisorganisation: Ich hatte um den ersten Termin am Tag gebeten und den auch bekommen.,14,88,2.0,13,0.24190384649454838
4962,0,Es findet keine Beratung statt.,5,31,6.0,17,1.0
3925,2,"Außerdem wurde mir ""normale"" Ultraschahl-Untersuchung durchgeführt, kein Screening, woröber ich nicht informiert wurde.",13,119,5.0,4,0.1014262642449385
3238,2,"Er hat jederzeit ein offenes Ohr für Patienten, die sich aktiv in den Behandlungsablauf einbringen möchten.",16,107,1.0,2,0.12523742036178895
7693,6,"Fachlich scheint die Ärztin in Einzelfällen, ich kann nur für mich sprechen, überfordert und man muß schon sehr eindringlich auf eine Überweisung zu einem Facharzt bestehen, von selbst hat die Ärztin noch nie eine Überweisung angeboten, auch wenn die Therapie ganz offensichtlich keine Wirkung zeigt.",45,300,5.0,-1,0.05161362641249888
4230,5,"Klima hörte sich erst detailliert meine Beschwerden an, äußerte eine sehr plausible diagnose und prüfte anschließend via abtasten und ultraschall nochmal auf mögliche tumore.",24,174,1.0,4,0.32041482197199694
525,1,"Die Behandlung war bisher auch eher mäßig erfolgreich , deshalb habe ich mich schon seit einiger Zeit davor gedrückt einen neuen Termin zu vereinbaren!",24,151,4.0,-1,0.038077719152173756
5188,0,Die Behandlung von Herrn Viertl ist nicht gut.,8,46,6.0,10,0.05863776117326492
4368,2,Und da Überlegt man/Frau die Ärztin zu wechseln.,8,48,2.0,-1,0.048421434184818014
7032,1,"Meine Tochter (2), die sich vor Ärzten total scheut, saß brav auf dem Behandlungsstuhl und wurde spielerisch untersucht.",18,120,1.0,-1,0.035084746549421404
898,15,"Ein ""Betüddeln"" erwarten wir nicht, jedoch einen sensibleren, liebevolleren Umgang mit dem Baby.",13,96,4.0,-1,0.12354380061828685
2179,1,Neuss 1 Minute auf meine Beschwerdesymptomatik schaute und Schuppenflechte feststellte.,10,87,5.0,-1,0.04817773082851644
1736,5,"Wir waren uns einig, dass wir uns diese Freude durch diesen Arzt nicht nehmen lassen wollen, daher haben wir uns für einen anderen, sehr sehr netten und kompetenten Arzt entschieden.",30,182,5.0,-1,0.06763631300770434
324,0,"Dr Danull steht nie unter Zeitdruck, auch wenn das Wartezimmer voll ist.",12,72,2.0,-1,0.21185162876581978
5268,0,Stegelmann ist toll empfängt uns immer mit einem Lächeln das uns ein gutes und herzliches Gefühl gibt .,18,103,3.0,-1,0.032545503160123286
1670,1,Nach einer misslungenen OP bei einem anderen Arzt war unser Misstrauen sowie unsere Angst mehr als nur groß.,18,108,1.0,-1,0.060443449209210146
6549,4,"Wer allerdings nur entspannen kann, wenn der Zahnarzt Wärme und Fürsorge ausstrahlt, ist bei ihr falsch.",16,104,2.0,-1,0.035513539418532816
7442,2,"Sie war nett, angenehm, zuverlässig und professionell.",7,54,1.0,3,0.2558945080102084
1813,2,Nimmt sich die nötige Zeit um alle Fragen des Patienten zur Zufriedenheit zu beantworten.,14,89,1.0,2,0.37588547376313597
1638,3,Allerdings ist das Personal am Empfang eine Katastrophe.,8,56,2.0,-1,0.027484238092804706
6257,0,Sehr freundlicher Arzt der sicherlich weiss wie er sich verkaufen muss.,11,71,4.0,-1,0.05763811816464864
2426,9,Dieses ganze Gespräch hat nicht mal 3 Minuten gedauert.,9,55,6.0,7,1.0
4209,4,Das Personal war sehr nett und hat schnell und m.,10,49,1.0,3,0.30416120461048707
6551,24,Meine Diagnose: Burnout und tiefe Frustration durch schlechtes Personal,9,71,6.0,1,0.49199724909183484
2614,1,"Ärztin ist kompetent aber ständig ohne Zeit, man hat manchmal den Eindruck, man wird ""abgearbeitet"".",15,100,3.0,20,1.0
680,14,Mittlerweile sind die Reproduktionsmediziner mit Abstand die Ärztegruppe die am meisten verdient.,12,97,3.0,-1,0.008475357960220165
2173,0,Der Arzt und auch seine Mitarbeiterinnen geben dem Patienten große Siocherheit,11,78,2.0,-1,0.024870431141119594
6514,0,"Bekam nach 2 Minuten Diagnose Kortison, nach weiteren 4 Wochen ohne Besserung erstmal Tabletten gegen Durchblutungsstörungen... ich soll in 2 Wochen erneut kommen für weitere Tests.",26,181,6.0,-1,0.07937435004346989
7802,3,So etwas habe ich noch nie erlebt!,7,34,5.0,35,0.9043872024285428
4487,2,Meiner Meinung nach ist das nicht in Ordnung.,8,45,4.0,-1,0.05101053743913133
22,3,"Fatalerweise war obendrein der Arzt (ab mittags!) nicht mehr erreichbar und so wurde es zudem für die behandelnden Ärzte im Krankenhaus schwierig, den genauen Ort der Blutung zu lokalisieren.",29,191,4.0,-1,0.029570125748457278
813,1,"Dass die Ignoranz des Vorgängers noch zu toppen ist, hätte ich nicht gedacht.",13,77,6.0,16,0.09563342623456954
7289,0,"Arzt: + trotz der negativen Punkte durchweg gute oder sehr gute Behandlungsergebnisse - um richtig behandelt zu werden, muss man sehr viel von selber erzählen.",25,159,3.0,-1,0.02905125253289658
1117,7,"An dieser Stelle möchte ich noch erwähnen, dass sich die rote Stelle des Gerstenkorns am Lid vernarbt hat.",18,106,6.0,-1,0.09363748556495677
20,3,"Joneleit mit, dass noch die Möglichkeit bestünde, den Gelenkspalt auszuräumen, so dass die Reibung nicht mehr so stark gegeben ist.",20,131,4.0,-1,0.03667075026881709
5156,5,So wird man also als Patient belogen.,7,37,6.0,-1,0.06324877930657336
1694,10,Wir wollten das Risiko einer langzeitigen Behandlung umgehend vermeiden.,9,72,3.0,-1,0.027761272956676332
5902,0,Ich war eure zum ersten mal in der Praxis und habe durchweg positive Erfahrungen gemacht Um 8:45 Uhr war mein Termin um 9:20 Uhr war ich Fertig.,27,144,2.0,37,1.0
3411,2,"Er hat mir das falsche Medikament verschrieben, dass die Ursache meiner Beschwerden so schlimm hat werden lassen, dass man diese dann (finally!) endlich gefunden hat.",25,166,6.0,-1,0.04578448472053928
3199,4,"Trotz regelmäßiger ""Behandlung"" bei Fr. ""Dr. "" Lohann wurde viel Schaden angerichtet.",12,85,4.0,-1,0.025684155527504665
3046,8,Am Ende zählte bei ihr nur noch in welcher Krankenkasse ist.,11,60,3.0,-1,0.07054386580001536
6944,1,"Aber jedes Mal wo man zu ihr kommt, muss man einen ""Hindernis"" überwinden: eine oder beide Praxishelferinnen, die im besten Fall gleichgültig und abwesend wirken, im schlimmsten - beinah aggressiv.",30,197,1.0,-1,0.024391595808341392
2943,4,Die Kostenvoranschläge bekam ich gleich mit.,6,44,5.0,-1,0.036619192253627544
3690,0,"Ich war aufgrund meiner Blutungen seit Februar dort um mir noch eine Meinung anzuhören ,doch wurde trotz dass ich sehr freundlich und ruhig war respektlos und unverschämt behandelt.",28,181,6.0,-1,0.07752246268197892
680,4,Natürlich wurde mir wärmstens ans Herz gelegt direkt mit einer künstlichen Befruchtung anzufangen.,13,98,3.0,-1,0.11370958870890827
5424,0,"Kompetenter, netter und sympathischer Arzt",5,42,2.0,1,1.0
7509,6,Ein Wasserspender ist auch nicht vorhanden.,6,43,5.0,10,0.04821369516517677
5203,2,Natürlich wurde er nicht ruhig dadurch.,6,39,3.0,-1,0.009196611875618817
2455,2,Trotz eindeutiger Symptome wird selbst eine 1-tägige Krankschreibung von Frau Dr.,11,81,4.0,33,1.0
523,3,Ich bin dann auch gegangen.,5,27,5.0,-1,0.021478793694063865
1703,5,"Während der Behandlungen wurde immer über ein weg über jeg mögliche Themen gesprochen, als wäre man garnicht anwesend.",18,118,3.0,-1,0.04104911151697722
4859,0,"Bei mir hat Herr Bugdahl ein verändertes Muttermal entfernt, dabei hat er die relativ große Wunde nicht vernäht.",18,112,6.0,-1,0.07529043595355675
6053,5,Gerade für Personen mit Vorerkrankunen wie bei mir ist es nicht akzeptabel.,12,75,3.0,-1,0.00939162786767429
3401,5,Die Kronen waren viel zu groß und passten überhaupt nicht.,10,58,5.0,-1,0.05348964464771227
3361,8,Dann sollte ich ständig für jedes neue Rezept zur Blutabnahme erscheinen.,11,73,4.0,-1,0.04522107747059971
2662,3,"Ich hatte das Gefühl, Schuld am Scheitern zu sein und bei jedem erneuten Besuch mich erneut rechtfertigen zu müssen, warum sich keine Besserung einstellt.",24,154,3.0,20,0.4728392716396184
2838,0,Sudhoff als ausgesprochen unfreundlich und ungeduldig.,6,54,5.0,6,1.0
2235,4,"Aber leider möchte man da nicht mehr gerne hingehen, mit solchen unfreundlichen Damen, man kommt sich ja wie ein Bitsteller vor.",21,128,2.0,-1,0.10120902977170687
4134,1,Er machte zu dieser Zeit die Vertretung von Herrn Dr.,10,53,5.0,18,0.3027490109647842
2793,1,Frau Dr Stransky hat meine volle Vertrauen.,7,43,1.0,-1,0.047121583346703994
4299,0,Lausch ist ein sehr netter und umgänglicher Arzt.,8,49,1.0,30,1.0
6368,4,"Anfangs war ich diesbezüglich noch sehr tolerant, da ich sie als eine sehr nette Persönlichkeit empfinde, doch letztlich habe ich mich so unwohl und unverstanden gefühlt, dass ich gar nicht mehr hingehen wollte.",33,211,5.0,-1,0.02358948036634476
1647,6,"Einfach mal probieren, Sprechstunden gehen schnell und ohne lange Wartezeit.",10,76,1.0,-1,0.043007891639038315
1347,1,Jetzt war daraufhin das Knochenmark entzündet und der Zahn musste gezogen werden Höllen Schmerzen.,14,98,4.0,-1,0.01322385086944688
5106,6,"Ich kann nur jeden raten, sich wo anders behandeln zu lassen.",11,61,6.0,-1,0.009407012721662913
733,0,"Obwohl ich keinen Termin hatte, kam ich recht schnell dran.",10,59,2.0,-1,0.04606660186303173
6048,3,"Seine Aussage war direkt ""Spiralen sind sehr gefährlich, mach ich grundsätzlich nur wenn die Frauen dreimal bei mir sind und es dann unbedingt wollen"".",24,151,6.0,-1,0.09992451227476108
1146,2,So habe ich für eine gewöhnliche prof.,7,38,3.0,-1,0.009511633197110337
272,9,"Was ich bei ihm ausgelöst habe, weiß ich nicht, ich weiß nur, dass man unter keinen Umständen mit Patienten so umgehen sollte.",22,126,5.0,-1,0.06746380619780129
3519,10,"Aufgrund dieser Tatsachen, wird Frau Dr. med.",7,45,5.0,8,0.13226109788108315
335,5,Und Kortison bei Lidrandentzündung ist auch nicht der Weisheit letzter Schluss.,11,79,5.0,-1,0.03683936626178075
2451,7,"Auf Nachfrage meiner Kasse, und selbst in Fachkreisen ist dies auch mehr als genug.",14,83,4.0,-1,0.06104001657242922
7218,1,Bei meiner Wurzelbehandlung die sehr aufwendig war wurde sich sehr viel Mühe gegeben und das sogar alles ganz ohne Schmerzen.,20,125,2.0,-1,0.013652092684872233
7553,2,Beim zweiten Mal haben wir 80 Minuten gewartet.,8,47,2.0,7,1.0
4725,1,Sie hat uns auch bzgl. der Erdnussallergie unserer Tochter gut beraten.,11,71,2.0,-1,0.008413314856538085
6268,1,Konnte auch genau sagen woher mein Problem kommt und wie es weiterbehandelt werden sollte.,14,90,2.0,-1,0.009340461308747413
3607,0,"Am 18.05.2020 erhielt ich tel. einen Termin bereits für den 20., obwohl ich sagte, dass es ""nur"" um eine Ohrenspülung ginge.",21,124,3.0,-1,0.05354121896279154
3616,2,"Toller Arzt, den ich nur weiterempfehlen kann!",7,46,1.0,9,0.09517180063767501
379,1,"Erklärt alles ausführlich und man fühlt sich sehr gut aufgehoben, so wie es sein soll.",15,86,1.0,2,0.05499975092356016
5655,1,Rothe und überlege jetzt den Arzt zu wechseln.,8,46,3.0,-1,0.00800930151900568
5532,0,Sehr gut immer auf aktuelle Themen,6,34,2.0,-1,0.026839037087403334
606,0,"Keine Termine, Behandlung nicht in der Reihenfolge des eintreffens daher lange Wartezeit in der Praxis.",15,103,3.0,31,1.0
4922,1,Ich verstehe gerade auch nicht wie dieser Artzt eine durchschnittliche Bewertung von einer Note 3 bekommen kann.,17,112,5.0,-1,0.10168969543823846
5717,2,"Die Diagnose war teilweise falsch (habe mir eine Zweitmeinung eingeholt), wurde mir jedoch gut erklärt.",15,103,3.0,-1,0.007486888351792348
33,1,Ich kann nur wasserlassen wenn ich zugleich die Luft anhalte bis es sehr unangenehm wird wegen der Atemnot.,18,107,1.0,0,0.2583868608849478
1939,3,"Seligmann, bei dem ich nun schon sehr viele Jahre in Behandlung bin, ist zu jeder Tageszeit freundlich und erklärt während der Behandlung sein Handlen sehr ausführlich, so dass man stets darüber informiert ist, wie und vorallem warum er etwas tut.",40,247,1.0,-1,0.05934534026844631
